Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Rancho Viejo,,None Found,+52 625 582 4360,"Vicente Guerrero 375, Zona Centro, 31500 Cuauhtémoc, Chih., México",Restaurante mexicano, Abre a las 8a.m.,Ciudad Cuauhtémoc
Ling Ling by Hakkasan,linktr.ee,"Local sofisticado en un rascacielos con terraza, donde se sirve comida asiática, sushi y cocteles.",+52 55 3279 9204,"Av. P.º de la Reforma 509-Piso 56, Cuauhtémoc, 06500 Ciudad de México, CDMX, México",Restaurante, Abre a la 1p.m.,Ciudad Cuauhtémoc
La Cueva Terraza & Bar,facebook.com,None Found,+52 625 582 0200,"C. 17a. 423, San Antonio, 31530 Cuauhtémoc, Chih., México",Restaurante,,Ciudad Cuauhtémoc
Buffalo Steakhouse,,None Found,+52 625 581 5690,"Km 2 carretera Cuauhtémoc a la Junta Colonia la Esperanza, La Esperanza, 31528 Cuauhtémoc, Chih., México",Restaurante especializado en filetes, Abre a las 9a.m.,Ciudad Cuauhtémoc
Balta,sofitel-mexico-city.com,Restaurante refinado contemporáneo en el hotel Sofitel Mexico City Reforma que ofrece platos internacionales.,+52 55 8660 0500,"297 Avenue, Av. P.º de la Reforma 297, Cuauhtémoc, 06500 Ciudad de México, CDMX, México",Restaurante, Abre a las 6:30a.m.,Ciudad Cuauhtémoc
Troll Restaurant - Sucursal Tres Culturas,trollrestaurant.com,None Found,+52 625 581 0101,"Av. Jorge Castillo Cabrera y Carretera a Guerrero Junto a Alsuper Tres Culturas, 31528 Cuauhtémoc, Chih., México",Restaurante, Abre a las 10:30a.m.,Ciudad Cuauhtémoc
La Huerta Steakhouse,facebook.com,None Found,+52 625 583 2478,"Álvaro Obregón 10, 31500 Cuauhtémoc, Chih., México",Restaurante especializado en filetes, Abre a las 8a.m.,Ciudad Cuauhtémoc
La Bodeguita,,None Found,+52 625 583 0199,"Mariano Escobedo 1879, Progreso, 31550 Cuauhtémoc, Chih., México",Marisquería, Abre a las 9a.m.,Ciudad Cuauhtémoc
COCHIS,facebook.com,None Found,+52 625 583 1133,"Juan Aldama 346, Progreso, 31550 Cuauhtémoc, Chih., México",Restaurante americano,,Ciudad Cuauhtémoc
La Waffleria,m.facebook.com,None Found,+52 625 138 9796,"C. 6a 664, Zona Centro, 31500 Cuauhtémoc, Chih., México",Restaurante, Abre a las 8a.m.,Ciudad Cuauhtémoc
Doña Mary,m.facebook.com,None Found,+52 625 582 5119,"José María Morelos, C. 43a. &, Francisco Villa, 31530 Cuauhtémoc, Chih., México",Restaurante, Abre a las 8:30a.m.,Ciudad Cuauhtémoc
Casamayor Steakhouse,,None Found,+52 625 156 9606,"Av. 16 de Septiembre y 10 de Mayo 1612, José de San Martin, 31550 Cuauhtémoc, Chih., México",Restaurante, Abre a las 8a.m.,Ciudad Cuauhtémoc
ST. CRUZ RESTAURANTE MAR & GRILL,,None Found,+52 625 582 1061,"Miguel Hidalgo 1137, Zona Centro, 31500 Cuauhtémoc, Chih., México",Restaurante, Abre a las 8a.m.,Ciudad Cuauhtémoc
Balcón del Zócalo,balcondelzocalo.com,"Restaurante refinado que ofrece cocteles creativos, platos regionales y una terraza con vista a la ciudad.",+52 55 5130 5134,"Av. 5 de Mayo 61, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, México",Restaurante mexicano, Abre a las 7a.m.,Ciudad Cuauhtémoc
Restaurante Les Moustaches,lesmoustaches.com.mx,"Restaurante de lujo de 1974, ubicado en una mansión, donde se sirven vinos y comida francesa ecléctica.",+52 55 5533 3390,"Río Sena 88 Entre Paseo dela Reforma, C. Río Lerma y, Cuauhtémoc, 06500 Ciudad de México, CDMX, México",Restaurante francés,,Ciudad Cuauhtémoc
Restaurante Nuevo San Luis,,None Found,+52 625 582 4470,"C. 4a. entre Allende y Avenida Ignacio Allende, Zona Centro, 31500 Cuauhtémoc, Chih., México",Restaurante, Abre a las 8a.m.,Ciudad Cuauhtémoc
Troll Restaurant - Sucursal Plaza 1º de Mayo,trollrestaurant.com,None Found,+52 625 581 5858,"C. 29a. 126, Independencia, 31530 Cuauhtémoc, Chih., México",Restaurante, Abre a las 12p.m.,Ciudad Cuauhtémoc
Restaurant Tarahumara,,None Found,+52 625 582 8720,"Av. Ignacio Allende 373, Zona Centro, 31500 Cuauhtémoc, Chih., México",Restaurante, Abre a las 7a.m.,Ciudad Cuauhtémoc
Cityzen,bowo.app,None Found,,"297 Avenue, Av. P.º de la Reforma 297-Piso 38, Cuauhtémoc, 06500 Ciudad de México, CDMX, México",Restaurante,,Ciudad Cuauhtémoc
Cocteleria Lily,,None Found,+52 625 582 0556,"C. 12a. 1812, República, 31590 Cuauhtémoc, Chih., México",Marisquería, Abre a las 9a.m.,Ciudad Cuauhtémoc
Marcelo's Coctelería,marceloscocteleria.com,None Found,+52 625 688 4098,"Av. 16 de Septiembre #1610 Esquina con, José de San Martin, Progreso, 31550 Cuauhtémoc, Chih., México",Marisquería, Abre a las 11a.m.,Ciudad Cuauhtémoc
