Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Restaurante Catedral,restaurantecatedral.com.mx,"Restaurante rústico con un patio interior, música de piano en vivo y platos mexicanos clásicos y oaxaqueños.",+52 951 516 3285,"C. de Manuel García Vigil 105, RUTA INDEPENDENCIA, Centro, 68000 Oaxaca de Juárez, Oax., México",Restaurante mexicano, Abre a las 8a.m.,Oaxaca de Juárez
Las Quince Letras Restaurante,lasquinceletras.mx,"Restaurante con terraza donde se sirven desayunos mexicanos, platos oaxaqueños y cocteles con mezcal.",+52 951 514 3769,"C. de Mariano Abasolo 300, RUTA INDEPENDENCIA, Centro, 68000 Oaxaca de Juárez, Oax., México",, Abre a las 8a.m.,Oaxaca de Juárez
Los Danzantes Oaxaca,losdanzantesoaxaca.com.mx,"Restaurante cubierto con jardín al aire libre donde se ofrecen mezcales caseros, cocteles y platos de Oaxaca.",+52 951 501 1184,"C. Macedonio Alcalá 403-interior 4, RUTA INDEPENDENCIA, Centro, 68000 Oaxaca de Juárez, Oax., México",Restaurante de alta cocina, Abre a la 1p.m.,Oaxaca de Juárez
Casa Oaxaca el Restaurante,casaoaxacaelrestaurante.com,Platos oaxaqueños modernos hechos con vegetales orgánicos y carnes de libre pastoreo que se sirven en un patio lujoso.,+52 951 516 8889,"Constitución 104-A, RUTA INDEPENDENCIA, Centro, 68000 Oaxaca de Juárez, Oax., México",Restaurante mexicano, Abre a la 1p.m.,Oaxaca de Juárez
Restaurante Pitiona. Cocina de autor,pitiona.com,Elegante gastrobar mexicano-europeo con brunch y cocteles en la azotea y vista a los campanarios.,+52 951 514 0690,"Ignacio Allende 114, RUTA INDEPENDENCIA, Centro, 68000 Oaxaca de Juárez, Oax., México",Restaurante, Abre a la 1p.m.,Oaxaca de Juárez
La Azotea,azotea360.com.mx,None Found,+52 951 514 2453,"C. Macedonio Alcalá 401-c, RUTA INDEPENDENCIA, Centro, 68000 Oaxaca de Juárez, Oax., México",Parrilla, Abre a las 8a.m.,Oaxaca de Juárez
Origen,origenoaxaca.com,Espacio discreto con cielorraso de madera y gastronomía internacional creativa enfocada en productos regionales.,+52 951 471 3432,"Av Benito Juárez 308, RUTA INDEPENDENCIA, Centro, 68000 Oaxaca de Juárez, Oax., México",Restaurante mexicano, Abre a las 2p.m. del lun,Oaxaca de Juárez
Expendio Tradición,expendiotradicion.com.mx,"Local moderno de platos mexicanos tradicionales y novedosos, y cocteles de mezcal creativos.",+52 951 501 1460,"Reforma, Murguía &, Centro, 68000 Oaxaca de Juárez, Oax., México",Restaurante, 1a.m. ,Oaxaca de Juárez
Tierra del Sol Cultura Gastronómica,tierradelsol.mx,None Found,+52 951 235 6835,"Reforma 411, RUTA INDEPENDENCIA, Centro, 68000 Oaxaca de Juárez, Oax., México",Restaurante, Abre a las 8a.m.,Oaxaca de Juárez
Criollo,criollo.mx,"Restaurante informal con platos locales, ingredientes del área y asientos al aire libre.",+52 951 320 0709,"Francisco I. Madero 129, Santa María del Marquesado, Centro, 68000 Oaxaca de Juárez, Oax., México",Restaurante mexicano,,Oaxaca de Juárez
Casa Oaxaca Reforma,casaoaxacareforma.com,"Terraza rústica cubierta donde se sirven cerdo al horno, pulpo asado y salsa verde, además de desayuno y cocteles.",+52 951 502 6017,"C. Jazmines 518, Reforma, 68050 Oaxaca de Juárez, Oax., México",Restaurante mexicano, Abre a las 10a.m.,Oaxaca de Juárez
Tlayudas El Negro,facebook.com,Comidas de estilo casero en restaurante sencillo con música en vivo y entretenimiento.,+52 951 227 1700,"Vicente Guerrero 1029, Obrera, 68080 Oaxaca de Juárez, Oax., México",, Abre a las 12p.m.,Oaxaca de Juárez
Gozobi Restaurante Bar,facebook.com,Restaurante en terraza en la azotea con vista a la ciudad y las montañas; se sirve comida mexicana y mezcal.,+52 951 516 2938,"C. de Manuel García Vigil 504, RUTA INDEPENDENCIA, Centro, 68000 Oaxaca de Juárez, Oax., México",Restaurante mexicano, Abre a las 8a.m.,Oaxaca de Juárez
Gozobi Restaurante Bar,facebook.com,Restaurante en terraza en la azotea con vista a la ciudad y las montañas; se sirve comida mexicana y mezcal.,+52 951 516 2938,"C. de Manuel García Vigil 504, RUTA INDEPENDENCIA, Centro, 68000 Oaxaca de Juárez, Oax., México",Restaurante mexicano, Abre a las 8a.m.,Oaxaca de Juárez
